Fold,SubFold,SentID,Order,Word,,Segmentation,,,,,,,,,,,,,,,
2,B,1,1,70%,,70%,,,,4,A,1,4,2,B,,,35,1,A,1
2,B,1,2,ديال,,ديال,,,,4,A,2,6,3,B,,,34,2,B,1
2,B,1,3,المغربيات,,ال+مغربي+ات,,,,4,A,3,2,1,B,,,35,3,A,2
2,B,1,4,لي,,لي,,,,4,A,4,8,4,B,,,35,4,B,2
2,B,1,5,خدامات,,خدام+ات,,,,4,A,5,9,5,A,,,34,5,A,3
2,B,1,6,ماعندهومش,,ما+عند+هوم+ش,,,,4,A,6,7,4,A,,,36,6,B,3
2,B,1,7,الديبلومات,,ال+ديبلوم+ات,,,,4,A,7,7,4,A,,,35,7,A,4
2,B,1,0,EOS,,EOS,,,,4,A,8,6,3,B,,,36,8,B,4
3,B,2,1,أخر,,أخر,,,,4,A,9,5,3,A,,,36,9,A,5
3,B,2,2,موسم,,موسم,,,,4,A,10,3,2,A,,,34,10,B,5
3,B,2,3,رح,,رح,,,,4,A,11,9,5,A,,,,,,
3,B,2,4,اتابعه,,اتابع+ه,,,,4,A,12,9,5,A,,,,,,
3,B,2,5,بكفيني,,ب+كفي+ني,,,,4,A,13,2,1,B,,,,,,
3,B,2,6,حنان,,حنان,,,,4,A,14,5,3,A,,,,,,
3,B,2,7,هاد,,هاد,,,,4,A,15,1,1,A,,,,,,
3,B,2,8,الموسم,,ال+موسم,,,,4,A,16,10,5,B,,,,,,
3,B,2,9,وايلي,,و+ايلي,,,,4,A,17,9,5,A,,,,,,
3,B,2,10,ايليا,,إيليا,,,,4,A,18,5,3,A,,,,,,
3,B,2,11,الموسم,,ال+موسم,,,,4,A,19,1,1,A,,,,,,
3,B,2,12,اللي,,اللي,,,,4,A,20,5,3,A,,,,,,
3,B,2,13,فات,,فات,,,,4,A,21,4,2,B,,,,,,
3,B,2,14,عدم,,عدم,,,,4,A,22,10,5,B,,,,,,
3,B,2,15,المصداقية,,ال+مصداقي+ة,,,,4,A,23,6,3,B,,,,,,
3,B,2,16,والمسخرة,,و+ال+مسخر+ة,,,,4,A,24,9,5,A,,,,,,
3,B,2,0,EOS,,EOS,,,,4,A,25,2,1,B,,,,,,
1,B,3,1,أستاد,,أستاد,,,,4,A,26,5,3,A,,,,,,
1,B,3,2,الدليمي,,ال+دليمي,,,,4,A,27,4,2,B,,,,,,
1,B,3,3,مات,,مات,,,,4,A,28,6,3,B,,,,,,
1,B,3,4,شكون,,شكون,,,,4,A,29,3,2,A,,,,,,
1,B,3,5,قتلو,,قتل+و,,,,4,A,30,9,5,A,,,,,,
1,B,3,6,غدّا,,غد+ا,,,,4,A,31,10,5,B,,,,,,
1,B,3,7,جيب,,جيب,,,,4,A,32,4,2,B,,,,,,
1,B,3,8,بّاك,,باك,,,,4,A,33,2,1,B,,,,,,
1,B,3,9,عاد,,عاد,,,,4,A,34,4,2,B,,,,,,
1,B,3,10,تدخل,,تدخل,,,,4,A,35,8,4,B,,,,,,
1,B,3,0,EOS,,EOS,,,,4,A,36,9,5,A,,,,,,
4,B,4,1,أصلا,,أصل+ا,,,,4,A,37,10,5,B,,,,,,
4,B,4,2,كان,,كان,,,,4,A,38,4,2,B,,,,,,
4,B,4,3,باين,,باين,,,,4,A,39,1,1,A,,,,,,
4,B,4,4,ان,,ان,,,,4,A,40,1,1,A,,,,,,
4,B,4,5,الهجمات,,ال+هجم+ات,,,,4,A,41,9,5,A,,,,,,
4,B,4,6,غادي,,غادي,,,,4,A,42,8,4,B,,,,,,
4,B,4,7,تاثر,,تاثر,,,,4,A,43,7,4,A,,,,,,
4,B,4,8,على,,على,,,,4,A,44,8,4,B,,,,,,
4,B,4,9,الانتخابات,,ال+انتخاب+ات,,,,4,A,45,9,5,A,,,,,,
4,B,4,10,والعنصرية,,و+ال+عنصري+ة,,,,3,A,46,9,5,A,,,,,,
4,B,4,11,في,,في,,,,3,A,47,6,3,B,,,,,,
4,B,4,12,كل,,كل,,,,3,A,48,2,1,B,,,,,,
4,B,4,13,اروبا,,اروبا,,,,3,A,49,7,4,A,,,,,,
4,B,4,0,EOS,,EOS,,,,3,A,50,6,3,B,,,,,,
5,A,5,1,أنا,,أنا,,,,3,A,51,6,3,B,,,,,,
5,A,5,2,مانسيتش,,ما+نسيت+ش,,,,3,A,52,5,3,A,,,,,,
5,A,5,3,بلي,,ب+لي,,,,3,A,53,5,3,A,,,,,,
5,A,5,4,أنيس,,أنيس,,,,3,A,54,1,1,A,,,,,,
5,A,5,5,صوت,,صوت,,,,3,A,55,1,1,A,,,,,,
5,A,5,6,ضد,,ضد,,,,3,A,56,1,1,A,,,,,,
5,A,5,7,سوكا,,سوكا,,,,3,A,57,5,3,A,,,,,,
5,A,5,8,وبلي,,وبلي,,,,3,A,58,7,4,A,,,,,,
5,A,5,9,هدر,,هدر,,,,3,A,59,9,5,A,,,,,,
5,A,5,10,على,,على,,,,3,A,60,2,1,B,,,,,,
5,A,5,11,سوها,,سوها,,,,3,A,61,4,2,B,,,,,,
5,A,5,12,مي,,مي,,,,3,A,62,8,4,B,,,,,,
5,A,5,13,راه,,را+ه,,,,3,A,63,3,2,A,,,,,,
5,A,5,14,ولد,,ولد,,,,3,A,64,5,3,A,,,,,,
5,A,5,15,مغرب,,مغرب,,,,3,A,65,10,5,B,,,,,,
5,A,5,16,لعربي,,ل+عربي,,,,3,A,66,2,1,B,,,,,,
5,A,5,17,يا,,يا,,,,3,A,67,3,2,A,,,,,,
5,A,5,18,صوتو,,صوت+و,,,,3,A,68,8,4,B,,,,,,
5,A,5,19,يا,,يا,,,,3,A,69,4,2,B,,,,,,
5,A,5,20,سكتو,,سكت+و,,,,3,A,70,10,5,B,,,,,,
5,A,5,21,ماشي,,ماشي,,,,3,A,71,9,5,A,,,,,,
5,A,5,22,توقفو,,توقف+و,,,,3,A,72,3,2,A,,,,,,
5,A,5,23,ضدو,,ضد+و,,,,3,A,73,7,4,A,,,,,,
5,A,5,24,المغرب,,ال+مغرب,,,,3,A,74,10,5,B,,,,,,
5,A,5,25,مع,,مع,,,,3,A,75,8,4,B,,,,,,
5,A,5,26,انيس,,انيس,,,,1,A,76,1,1,A,,,,,,
5,A,5,0,EOS,,EOS,,,,1,A,77,9,5,A,,,,,,
4,A,6,1,إلا,,إلا,,,,1,A,78,8,4,B,,,,,,
4,A,6,2,كنتي,,كنت+ي,,,,1,A,79,8,4,B,,,,,,
4,A,6,3,راجل,,راجل,,,,1,A,80,4,2,B,,,,,,
4,A,6,4,هبط,,هبط,,,,1,A,81,8,4,B,,,,,,
4,A,6,5,أنا,,أنا,,,,1,A,82,8,4,B,,,,,,
4,A,6,6,راجل,,راجل,,,,1,A,83,4,2,B,,,,,,
4,A,6,7,و,,و,,,,1,A,84,10,5,B,,,,,,
4,A,6,8,لكن,,لكن,,,,1,A,85,10,5,B,,,,,,
4,A,6,9,موحال,,موحال,,,,1,A,86,7,4,A,,,,,,
4,A,6,10,واش,,واش,,,,1,A,87,3,2,A,,,,,,
4,A,6,11,مراتي,,مرات+ي,,,,1,A,88,5,3,A,,,,,,
4,A,6,12,تخليني,,تخل+ي+ني,,,,1,A,89,1,1,A,,,,,,
4,A,6,13,نهبط,,نهبط,,,,1,A,90,4,2,B,,,,,,
4,A,6,14,فهاد,,ف+هاد,,,,1,A,91,1,1,A,,,,,,
4,A,6,15,الساعة,,ال+ساع+ة,,,,1,A,92,3,2,A,,,,,,
4,A,6,0,EOS,,EOS,,,,1,A,93,6,3,B,,,,,,
4,A,7,1,احب,,احب,,,,1,A,94,5,3,A,,,,,,
4,A,7,2,ريحه,,ريح+ه,,,,1,A,95,9,5,A,,,,,,
4,A,7,3,اقلام,,اقلام,,,,1,A,96,5,3,A,,,,,,
4,A,7,4,السبوره,,ال+سبور+ة,,,,1,A,97,2,1,B,,,,,,
4,A,7,5,يخي,,يخي,,,,1,A,98,3,2,A,,,,,,
4,A,7,6,كذا,,كذا,,,,1,A,99,2,1,B,,,,,,
4,A,7,7,فيها,,في+ها,,,,5,A,100,4,2,B,,,,,,
4,A,7,8,شي,,شي,,,,5,A,101,1,1,A,,,,,,
4,A,7,9,اخخ,,اخخ,,,,5,A,102,4,2,B,,,,,,
4,A,7,10,بس,,بس,,,,5,A,103,3,2,A,,,,,,
4,A,7,11,جمال,,جمال,,,,5,A,104,4,2,B,,,,,,
4,A,7,0,EOS,,EOS,,,,5,A,105,10,5,B,,,,,,
3,B,8,1,احلى,,احلى,,,,5,A,106,10,5,B,,,,,,
3,B,8,2,ربورتاج,,ربورتاج,,,,5,A,107,1,1,A,,,,,,
3,B,8,3,فهاد,,ف+هاد,,,,5,A,108,9,5,A,,,,,,
3,B,8,4,الموسم,,ال+موسم,,,,5,A,109,6,3,B,,,,,,
3,B,8,5,هو,,هو,,,,5,A,110,2,1,B,,,,,,
3,B,8,6,ربورناج,,ربورناج,,,,5,A,111,6,3,B,,,,,,
3,B,8,7,حنان,,حنان,,,,5,A,112,1,1,A,,,,,,
3,B,8,8,فباريس,,ف+باريس,,,,5,A,113,2,1,B,,,,,,
3,B,8,9,شكون,,شكون,,,,5,A,114,2,1,B,,,,,,
3,B,8,10,متافق,,متافق,,,,5,A,115,5,3,A,,,,,,
3,B,8,11,انها,,ان+ها,,,,5,A,116,10,5,B,,,,,,
3,B,8,12,سلطاانة,,سلطان+ة,,,,5,A,117,9,5,A,,,,,,
3,B,8,13,الموسم,,ال+موسم,,,,5,A,118,1,1,A,,,,,,
3,B,8,14,بامتياز,,ب+امتياز,,,,5,A,119,10,5,B,,,,,,
3,B,8,0,EOS,,EOS,,,,5,A,120,8,4,B,,,,,,
3,A,9,1,احنا,,احنا,,,,5,A,121,8,4,B,,,,,,
3,A,9,2,ولادنا,,ولاد+نا,,,,5,A,122,3,2,A,,,,,,
